norm,dataset,max_features,eucl,cos,tsss,out_of,,accuracy,eucl,cos,tss
None,reuters,50,2195,2214,2186,3731,,,0.588314125,0.593406593,0.585901903
None,reuters,100,2327,2340,2154,3731,,,0.62369338,0.6271777,0.577325114
None,reuters,200,2431,2461,2240,3731,,,0.651567944,0.659608684,0.600375235
None,reuters,300,2467,2513,2130,3731,,,0.661216832,0.673545966,0.570892522
None,reuters,400,2469,2535,2042,3731,,,0.661752881,0.679442509,0.547306352
None,reuters,500,2466,2560,2002,3731,,,0.660948807,0.686143125,0.536585366
None,reuters,600,2466,2546,1984,3731,,,0.660948807,0.68239078,0.531760922
None,reuters,700,2453,2545,1967,3731,,,0.657464487,0.682122755,0.527204503
None,reuters,800,2448,2550,1947,3731,,,0.656124363,0.683462879,0.52184401
None,reuters,900,2425,2550,1915,3731,,,0.649959796,0.683462879,0.513267221
None,reuters,948,2419,2552,1912,3731,,,0.648351648,0.683998928,0.512463147
